"DEMACRO                                 ","DEL.SEC.OSASCO                          ","10º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","03º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","08º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.SEC.OSASCO                "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","03º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","04º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","07º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","07º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","07º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","03º D.P. CARAPICUIBA          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","01º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","SETOR HOM.SEC. OSASCO         "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","07º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","07º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.FRANCO DA ROCHA                 ","DEL.POL.CAIEIRAS              "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","03º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","10º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","10º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","01º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","SIG DEL.SEC.OSASCO            "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","SIG DEL.SEC.OSASCO            "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","SIG DEL.SEC.OSASCO            "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","07º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","03º D.P. CARAPICUIBA          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","03º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","03º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","DEL.POL.JANDIRA               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","04º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","02º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","SIG DEL.SEC.OSASCO            "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","08º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.PROTECAO IDOSO OSASCO     "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","09º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","09º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","10º D.P. OSASCO               "
"DEIC                                    ","DISCCPAT - DIV. INV.CRIMES C. PATRIMÔNIO","DEIC-5ª DELEGACIA DA DISCCPAT "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","08º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","09º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","DEL.SEC.CARAPICUIBA           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","02º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","SIG DEL.SEC.OSASCO            "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","SIG DEL.SEC.OSASCO            "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","02º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","10º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.SEC.OSASCO                "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","02º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","10º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","01º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","03º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","02º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","08º D.P. OSASCO               "
"DEIC                                    ","DISCCPAT - DIV. INV.CRIMES C. PATRIMÔNIO","DEIC-5ª DELEGACIA DA DISCCPAT "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","DEL.SEC.CARAPICUIBA           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","01º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","01º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","09º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","08º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","01º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","01º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","07º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","03º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","SIG DEL.SEC.OSASCO            "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","02º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","SIG DEL.SEC.OSASCO            "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","07º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DECAP                                   ","DEL.SEC.1º CENTRO                       ","12º D.P. PARI                 "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","04º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","08º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","01º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","04º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","09º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","10º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","10º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","02º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","03º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.PROTECAO IDOSO OSASCO     "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.PROTECAO IDOSO OSASCO     "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","02º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","04º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","01º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","07º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.FRANCO DA ROCHA                 ","DEL.POL.CAIEIRAS              "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","03º D.P. OSASCO               "
"DECAP                                   ","DEL.SEC.3º OESTE                        ","93º D.P. JAGUARÉ              "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","08º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","10º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEINTER 7 - SOROCABA                    ","DEL.SEC.BOTUCATU                        ","DEL.POL.PEREIRAS              "
"DEINTER 7 - SOROCABA                    ","DEL.SEC.BOTUCATU                        ","DEL.POL.PEREIRAS              "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","10º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","10º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","08º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.PROTECAO IDOSO OSASCO     "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.PROTECAO IDOSO OSASCO     "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","02º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","04º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","04º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","09º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","04º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","07º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","07º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","03º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","SIG DEL.SEC.OSASCO            "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","SIG DEL.SEC.OSASCO            "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","SIG DEL.SEC.OSASCO            "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","03º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","10º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEIC                                    ","DISCCPAT - DIV. INV.CRIMES C. PATRIMÔNIO","DEIC-3ª DELEGACIA DA DISCCPAT "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","02º D.P. OSASCO               "
"DEIC                                    ","DISCCPAT - DIV. INV.CRIMES C. PATRIMÔNIO","DEIC-3ª DELEGACIA DA DISCCPAT "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","03º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","SIG DEL.SEC.OSASCO            "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.DEF.MUL. OSASCO           "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","03º D.P. CARAPICUIBA          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","02º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.PROTECAO IDOSO OSASCO     "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","02º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","05º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DISE- DEL.SEC.OSASCO          "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","09º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","09º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","08º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","03º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","02º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","06º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","04º D.P. OSASCO               "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.PROTECAO IDOSO OSASCO     "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","07º D.P. OSASCO               "
"DEIC                                    ","DISCCPAT - DIV. INV.CRIMES C. PATRIMÔNIO","DEIC-3ª DELEGACIA DA DISCCPAT "
